Time  Velocity Err Source
2456295.6214561 12517.11 0.79 "Bonomo et al. 2017"
2456298.7642665 12555.64 0.82 "Bonomo et al. 2017"
2456299.6085258 12337.49 0.68 "Bonomo et al. 2017"
2456322.6832476 12612.81 0.63 "Bonomo et al. 2017"
2456323.6310805 12947.20 2.59 "Bonomo et al. 2017"
2456344.4753290 12321.56 0.68 "Bonomo et al. 2017"
2456365.6506613 12872.70 1.15 "Bonomo et al. 2017"
2456375.5026138 12769.67 1.29 "Bonomo et al. 2017"
2456377.6005131 12792.82 0.99 "Bonomo et al. 2017"
2456382.5712975 12403.44 0.65 "Bonomo et al. 2017"
2456407.5380482 12819.54 0.98 "Bonomo et al. 2017"
2456622.7576970 12816.62 0.70 "Bonomo et al. 2017"
2456631.7299753 12934.48 1.06 "Bonomo et al. 2017"
2456700.4992492 12441.52 0.79 "Bonomo et al. 2017"
2456702.4833282 12949.10 0.79 "Bonomo et al. 2017"
2456724.4276005 12741.91 0.74 "Bonomo et al. 2017"
2456728.6232469 12878.48 1.20 "Bonomo et al. 2017"
2456751.4400623 12706.62 0.96 "Bonomo et al. 2017"
2456751.4471568 12703.93 0.98 "Bonomo et al. 2017"
2456751.4544364 12698.42 0.92 "Bonomo et al. 2017"
2456751.4617044 12695.21 0.93 "Bonomo et al. 2017"
2456751.4688683 12692.21 0.91 "Bonomo et al. 2017"
2456751.4761016 12686.76 0.91 "Bonomo et al. 2017"
2456751.4832539 12682.45 0.94 "Bonomo et al. 2017"
2456751.4905914 12678.88 0.94 "Bonomo et al. 2017"
2456751.4978363 12673.90 0.93 "Bonomo et al. 2017"
2456751.6135578 12600.59 1.35 "Bonomo et al. 2017"
2456751.6207101 12595.69 1.43 "Bonomo et al. 2017"
2456751.6280707 12590.92 1.35 "Bonomo et al. 2017"
2456751.6350263 12586.75 1.29 "Bonomo et al. 2017"
2456751.6424332 12583.37 1.37 "Bonomo et al. 2017"
2456751.6494235 12579.12 1.36 "Bonomo et al. 2017"
2456751.6568304 12573.63 1.48 "Bonomo et al. 2017"
2456998.6527078 12790.36 1.43 "Bonomo et al. 2017"
2456999.7226329 12320.45 1.44 "Bonomo et al. 2017"
2457069.6071593 12612.43 4.54 "Bonomo et al. 2017"
2457472.4641639 12499.72 1.59 "Bonomo et al. 2017"
2457526.4654365 12337.50 1.03 "Bonomo et al. 2017"
2457549.3943908 12424.18 1.08 "Bonomo et al. 2017"
