Time  Velocity Err Source
2454928.94934 187.55 1.12 "Bakos et al. 2011"
2454954.88137 284.38 1.12 "Bakos et al. 2011"
2454955.79962 77.44 1.46 "Bakos et al. 2011"
2454956.96383 -273.80 1.30 "Bakos et al. 2011"
2454963.92157 -14.63 1.33 "Bakos et al. 2011"
2454983.82710 282.58 0.98 "Bakos et al. 2011"
2454985.81064 -298.55 1.14 "Bakos et al. 2011"
2454986.84124 239.74 1.39 "Bakos et al. 2011"
2454988.83025 -300.15 1.31 "Bakos et al. 2011"
2455191.14866 -326.24 1.32 "Bakos et al. 2011"
2455193.10170 255.62 1.30 "Bakos et al. 2011"
2455193.93435 -192.43 1.38 "Bakos et al. 2011"
2454928.9501093 152.732 1.144 "Knutson et al. 2014"
2454954.8821362 250.651 1.303 "Knutson et al. 2014"
2454955.8003862 44.387 1.536 "Knutson et al. 2014"
2454956.9646002 -309.624 1.430 "Knutson et al. 2014"
2454963.9223392 -48.106 1.409 "Knutson et al. 2014"
2454983.8278641 247.869 1.065 "Knutson et al. 2014"
2454985.8114032 -331.787 1.253 "Knutson et al. 2014"
2454986.8420012 204.180 1.497 "Knutson et al. 2014"
2454988.8310182 -335.437 1.397 "Knutson et al. 2014"
2455191.1494249 -361.465 1.281 "Knutson et al. 2014"
2455193.1024708 220.248 1.329 "Knutson et al. 2014"
2455193.9351188 -224.519 1.448 "Knutson et al. 2014"
2455902.1439854 70.776 1.599 "Knutson et al. 2014"
2455932.0814975 155.474 1.547 "Knutson et al. 2014"
2455945.1449204 39.824 1.740 "Knutson et al. 2014"
2456079.7991371 182.196 1.584 "Knutson et al. 2014"
2456266.0831387 175.000 1.608 "Knutson et al. 2014"
2456290.0502270 -327.176 1.630 "Knutson et al. 2014"
2456638.0919848 228.836 1.629 "Knutson et al. 2014"
2456295.6214561 12517.11 0.79 "Bonomo et al. 2017"
2456298.7642665 12555.64 0.82 "Bonomo et al. 2017"
2456299.6085258 12337.49 0.68 "Bonomo et al. 2017"
2456322.6832476 12612.81 0.63 "Bonomo et al. 2017"
2456323.6310805 12947.20 2.59 "Bonomo et al. 2017"
2456344.4753290 12321.56 0.68 "Bonomo et al. 2017"
2456365.6506613 12872.70 1.15 "Bonomo et al. 2017"
2456375.5026138 12769.67 1.29 "Bonomo et al. 2017"
2456377.6005131 12792.82 0.99 "Bonomo et al. 2017"
2456382.5712975 12403.44 0.65 "Bonomo et al. 2017"
2456407.5380482 12819.54 0.98 "Bonomo et al. 2017"
2456622.7576970 12816.62 0.70 "Bonomo et al. 2017"
2456631.7299753 12934.48 1.06 "Bonomo et al. 2017"
2456700.4992492 12441.52 0.79 "Bonomo et al. 2017"
2456702.4833282 12949.10 0.79 "Bonomo et al. 2017"
2456724.4276005 12741.91 0.74 "Bonomo et al. 2017"
2456728.6232469 12878.48 1.20 "Bonomo et al. 2017"
2456751.4400623 12706.62 0.96 "Bonomo et al. 2017"
2456751.4471568 12703.93 0.98 "Bonomo et al. 2017"
2456751.4544364 12698.42 0.92 "Bonomo et al. 2017"
2456751.4617044 12695.21 0.93 "Bonomo et al. 2017"
2456751.4688683 12692.21 0.91 "Bonomo et al. 2017"
2456751.4761016 12686.76 0.91 "Bonomo et al. 2017"
2456751.4832539 12682.45 0.94 "Bonomo et al. 2017"
2456751.4905914 12678.88 0.94 "Bonomo et al. 2017"
2456751.4978363 12673.90 0.93 "Bonomo et al. 2017"
2456751.6135578 12600.59 1.35 "Bonomo et al. 2017"
2456751.6207101 12595.69 1.43 "Bonomo et al. 2017"
2456751.6280707 12590.92 1.35 "Bonomo et al. 2017"
2456751.6350263 12586.75 1.29 "Bonomo et al. 2017"
2456751.6424332 12583.37 1.37 "Bonomo et al. 2017"
2456751.6494235 12579.12 1.36 "Bonomo et al. 2017"
2456751.6568304 12573.63 1.48 "Bonomo et al. 2017"
2456998.6527078 12790.36 1.43 "Bonomo et al. 2017"
2456999.7226329 12320.45 1.44 "Bonomo et al. 2017"
2457069.6071593 12612.43 4.54 "Bonomo et al. 2017"
2457472.4641639 12499.72 1.59 "Bonomo et al. 2017"
2457526.4654365 12337.50 1.03 "Bonomo et al. 2017"
2457549.3943908 12424.18 1.08 "Bonomo et al. 2017"
