Time Velocity Error Source
2454186.9827888 54.709 2.429 "Knutson et al. 2014"
2454187.1099758 51.295 2.126 "Knutson et al. 2014"
2454188.0435063 -72.774 1.444 "Knutson et al. 2014"
2454189.0432964 -54.59 1.605 "Knutson et al. 2014"
2454189.1297448 -50.974 2.515 "Knutson et al. 2014"
2454249.9354857 -82.342 3.035 "Knutson et al. 2014"
2454279.8627201 -68.376 2.902 "Knutson et al. 2014"
2455284.7963238 10.226 1.41 "Knutson et al. 2014"
2455289.9654044 55.484 2.751 "Knutson et al. 2014"
2455290.0949554 58.67 3.077 "Knutson et al. 2014"
2455411.7584754 -15.012 2.12 "Knutson et al. 2014"
2455412.7563094 86.139 2.459 "Knutson et al. 2014"
2455425.7460775 -11.766 2.468 "Knutson et al. 2014"
2455426.7423296 -43.989 2.163 "Knutson et al. 2014"
2455427.7495536 89.239 2.498 "Knutson et al. 2014"
2455437.7391997 33.226 2.805 "Knutson et al. 2014"
2455438.7389877 -64.075 2.797 "Knutson et al. 2014"
2455440.7333687 38.605 2.696 "Knutson et al. 2014"
2455455.7556199 55.686 2.839 "Knutson et al. 2014"
2455464.72764 77.938 2.908 "Knutson et al. 2014"
2455465.719659 -54.997 3.004 "Knutson et al. 2014"
2456018.9343567 -42.956 3.702 "Knutson et al. 2014"
2456112.7562097 99.745 3.245 "Knutson et al. 2014"
2456324.7818877 -1434.7 7.57 "Bonomo et al. 2017"
2456376.6844079 -1449.76 3.82 "Bonomo et al. 2017"
2456404.6923768 -1460.62 5.81 "Bonomo et al. 2017"
2456405.6070653 -1336.53 4.6 "Bonomo et al. 2017"
2456420.5358137 -1381.26 4.78 "Bonomo et al. 2017"
2456423.4888794 -1378.73 12.86 "Bonomo et al. 2017"
2456432.462166 -1427.74 3.79 "Bonomo et al. 2017"
2456485.4313409 -1292.36 3.66 "Bonomo et al. 2017"
2456486.3931941 -1393.41 3.33 "Bonomo et al. 2017"
2456701.6308712 -1389.77 3.54 "Bonomo et al. 2017"
2456861.4249985 -1284.53 2.99 "Bonomo et al. 2017"
2456877.4171316 -1333.45 3.62 "Bonomo et al. 2017"
2456909.3412775 -1410.06 2.66 "Bonomo et al. 2017"
