BJD Err_BJD Source Epoch
2455381.9634710113 0.0005 Source 0.72 -958.0
2455435.5437802225 0.0005 Source 0.72 -901.0
2455451.5236760057 0.0005 Source 0.72 -884.0
2455548.345282553 0.0005 Source 0.72 -781.0
2455580.305859719 0.0005 Source 0.72 -747.0
2455605.685239621 0.0005 Source 0.72 -720.0
2455638.5855209194 0.0005 Source 0.72 -685.0
2455756.087117755 0.0005 Source 0.72 -560.0
2455781.468216791 0.0005 Source 0.72 -533.0
2455960.069938913 0.0005 Source 0.72 -343.0
2455984.51047779 0.0005 Source 0.72 -317.0
2455985.450621453 0.0005 Source 0.72 -316.0
2456058.770500014 0.0005 Source 0.72 -238.0
2456166.8716629334 0.0005 Source 0.72 -123.0
2456211.05314544 0.0005 Source 0.72 -76.0
2456275.913061729 0.0005 Source 0.72 -7.0
2456396.234182832 0.0005 Source 0.72 121.0
2456401.875012389 0.0005 Source 0.72 127.0
2456406.5737611316 0.0005 Source 0.72 132.0
2456539.116021098 0.0005 Source 0.72 273.0
2456680.1159651345 0.0005 Source 0.72 423.0
2456699.8582851216 0.0005 Source 0.72 444.0
2456711.138389148 0.0005 Source 0.72 456.0
2456783.517633803 0.0005 Source 0.72 533.0
2456798.558251312 0.0005 Source 0.72 549.0
2456951.77958718 0.0005 Source 0.72 712.0
2457121.9210425694 0.0005 Source 0.72 893.0
2457207.463303946 0.0005 Source 0.72 984.0
2457213.1023172033 0.0005 Source 0.72 990.0
2457230.022737525 0.0005 Source 0.72 1008.0
2457333.423334085 0.0005 Source 0.72 1118.0
2457635.1658733184 0.0005 Source 0.72 1439.0
2457672.76617287 0.0005 Source 0.72 1479.0
2457827.8683695532 0.0005 Source 0.72 1644.0
2457855.1275280705 0.0005 Source 0.72 1673.0
2457970.749354085 0.0005 Source 0.72 1796.0
2458001.7696444597 0.0005 Source 0.72 1829.0
2458021.509850222 0.0005 Source 0.72 1850.0
2458123.970785571 0.0005 Source 0.72 1959.0
2458175.6717877085 0.0005 Source 0.72 2014.0
2458252.7522779703 0.0005 Source 0.72 2096.0
2458276.251645851 0.0005 Source 0.72 2121.0
2458355.2124399194 0.0005 Source 0.72 2205.0
2458543.2152863657 0.0005 Source 0.72 2405.0
2458655.0756633184 0.0005 Source 0.72 2524.0
2459024.4977326645 0.0005 Source 0.72 2917.0
2459210.6200090987 0.0005 Source 0.72 3115.0
2459280.180474032 0.0005 Source 0.72 3189.0
2459390.1603553803 0.0005 Source 0.72 3306.0
2459432.461197013 0.0005 Source 0.72 3351.0
2459432.4616718325 0.0005 Source 0.72 3351.0
2459551.841615407 0.0005 Source 0.72 3478.0
2459602.602005712 0.0005 Source 0.72 3532.0
2459638.323852587 0.0005 Source 0.72 3570.0
2459729.5036587394 0.0005 Source 0.72 3667.0
2459740.7840554495 0.0005 Source 0.72 3679.0
2459811.284333873 0.0005 Source 0.72 3754.0
2459895.884988573 0.0005 Source 0.72 3844.0
2460006.805833789 0.0005 Source 0.72 3962.0
2460024.665466735 0.0005 Source 0.72 3981.0
2455371.1536766673 0.0005 Source 0.72 -970.5
2455372.0924382946 0.0005 Source 0.72 -969.5
2455373.0326036145 0.0005 Source 0.72 -968.5
2455373.973069052 0.0005 Source 0.72 -967.5
2455374.913472084 0.0005 Source 0.72 -966.5
2455375.8531796136 0.0005 Source 0.72 -965.5
2455376.7928176504 0.0005 Source 0.72 -964.5
2455377.731681 0.0005 Source 0.72 -963.5
2457222.973333879 0.0005 Source 0.72 1000.5
2457223.912685542 0.0005 Source 0.72 1001.5
2457224.85307243 0.0005 Source 0.72 1002.5
2457225.7925321287 0.0005 Source 0.72 1003.5
2457226.733100156 0.0005 Source 0.72 1004.5
