Time Velocity Error Source
2456265.6805428164 -164.93034890117036 10.0 Source
2456262.512147239 227.17396226304731 10.0 Source
2456267.4571309243 -23.88147841992408 10.0 Source
2456263.1904775244 -59.67166374764828 10.0 Source
2456267.749309632 -234.01621532696308 10.0 Source
2456269.74606464 -108.76994219030144 10.0 Source
2456269.2942328122 70.15776516439031 10.0 Source
2456273.4766634237 -140.16281234182065 10.0 Source
2456267.5141985486 -93.79145606668335 10.0 Source
2456274.505457317 6.771828796003586 10.0 Source
2456752.3908778 151.61716792376404 10.0 Source
2456752.654680451 -217.07849264380064 10.0 Source
2456757.2664459418 -96.69440604613303 10.0 Source
2456752.130947517 169.6731995038124 10.0 Source
2456756.3005583966 -78.48365295303222 10.0 Source
2456756.7787334495 60.9648837669277 10.0 Source
2456756.726020216 9.191695331696302 10.0 Source
2456760.647623533 218.49316065082235 10.0 Source
