Epoch BJD Err Source
-1640 2454515.52496 0.00043 "Yee et al. 2019 (compiled)"
-1346 2454836.40340 0.00028 "Yee et al. 2019 (compiled)"
-1342 2454840.76893 0.00062 "Yee et al. 2019 (compiled)"
-1067 2455140.90981 0.00042 "Yee et al. 2019 (compiled)"
-1061 2455147.45861 0.00043 "Yee et al. 2019 (compiled)"
-1046 2455163.83061 0.00032 "Yee et al. 2019 (compiled)"
-1038 2455172.56138 0.00036 "Yee et al. 2019 (compiled)"
-1004 2455209.66895 0.00046 "Yee et al. 2019 (compiled)"
-1003 2455210.76151 0.00041 "Yee et al. 2019 (compiled)"
-985 2455230.40669 0.00019 "Yee et al. 2019 (compiled)"
-963 2455254.41871 0.00043 "Yee et al. 2019 (compiled)"
-743 2455494.52999 0.00072 "Yee et al. 2019 (compiled)"
-739 2455498.89590 0.00079 "Yee et al. 2019 (compiled)"
-729 2455509.80971 0.00037 "Yee et al. 2019 (compiled)"
-728 2455510.90218 0.00031 "Yee et al. 2019 (compiled)"
-721 2455518.54070 0.00040 "Yee et al. 2019 (compiled)"
-699 2455542.55210 0.00040 "Yee et al. 2019 (compiled)"
-699 2455542.55273 0.00028 "Yee et al. 2019 (compiled)"
-677 2455566.56385 0.00028 "Yee et al. 2019 (compiled)"
-655 2455590.57561 0.00068 "Yee et al. 2019 (compiled)"
-648 2455598.21552 0.00035 "Yee et al. 2019 (compiled)"
-646 2455600.39800 0.00029 "Yee et al. 2019 (compiled)"
-645 2455601.49010 0.00024 "Yee et al. 2019 (compiled)"
-643 2455603.67261 0.00029 "Yee et al. 2019 (compiled)"
-625 2455623.31829 0.00039 "Yee et al. 2019 (compiled)"
-393 2455876.52786 0.00027 "Yee et al. 2019 (compiled)"
-383 2455887.44198 0.00021 "Yee et al. 2019 (compiled)"
-382 2455888.53340 0.00027 "Yee et al. 2019 (compiled)"
-380 2455890.71635 0.00024 "Yee et al. 2019 (compiled)"
-368 2455903.81357 0.00032 "Yee et al. 2019 (compiled)"
-353 2455920.18422 0.00031 "Yee et al. 2019 (compiled)"
-350 2455923.45850 0.00022 "Yee et al. 2019 (compiled)"
-329 2455946.37823 0.00018 "Yee et al. 2019 (compiled)"
-328 2455947.47015 0.00017 "Yee et al. 2019 (compiled)"
-327 2455948.56112 0.00033 "Yee et al. 2019 (compiled)"
-324 2455951.83534 0.00011 "Yee et al. 2019 (compiled)"
-323 2455952.92720 0.00010 "Yee et al. 2019 (compiled)"
-317 2455959.47543 0.00017 "Yee et al. 2019 (compiled)"
-316 2455960.56686 0.00032 "Yee et al. 2019 (compiled)"
-307 2455970.38941 0.00039 "Yee et al. 2019 (compiled)"
-306 2455971.48111 0.00035 "Yee et al. 2019 (compiled)"
-296 2455982.39509 0.00034 "Yee et al. 2019 (compiled)"
-295 2455983.48695 0.00035 "Yee et al. 2019 (compiled)"
-294 2455984.57797 0.00032 "Yee et al. 2019 (compiled)"
-293 2455985.66975 0.00042 "Yee et al. 2019 (compiled)"
-283 2455996.58378 0.00037 "Yee et al. 2019 (compiled)"
-275 2456005.31533 0.00037 "Yee et al. 2019 (compiled)"
-274 2456006.40637 0.00031 "Yee et al. 2019 (compiled)"
-55 2456245.42729 0.00033 "Yee et al. 2019 (compiled)"
-51 2456249.79404 0.00039 "Yee et al. 2019 (compiled)"
-29 2456273.80514 0.00030 "Yee et al. 2019 (compiled)"
-21 2456282.53584 0.00030 "Yee et al. 2019 (compiled)"
-19 2456284.71857 0.00030 "Yee et al. 2019 (compiled)"
-7 2456297.81605 0.00030 "Yee et al. 2019 (compiled)"
-3 2456302.18179 0.00046 "Yee et al. 2019 (compiled)"
